#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | gcmt_lat | gcmt_lon | gcmt_dep | gcmt_mag | gcmt magtype| M0(dyne_cm)
5167348|2015-12-06T17:09:29|-18.1602|-178.694|547.0|us|NEIC PDE|us|us100044gf|mww|5.6|us|FIJI ISLANDS REGION|-18.06|-178.61|558.3|5.6|Mw|2.86e24
5166405|2015-11-26T13:51:31|-17.653|179.8426|604.12|us|NEIC PDE|us|us100041iu|mb|5.1|us|FIJI ISLANDS|-17.70|179.89|629.8|5.7|Mw|4.61e24
5166386|2015-11-26T05:45:18|-9.1825|-71.2574|602.75|us|NEIC PDE|us|us100041f1|mww|6.7|us|PERU-BRAZIL BORDER REGION|-9.14|-71.35|614.1|6.7|Mw|1.34e26
5166221|2015-11-24T22:50:54|-10.0598|-71.0184|620.56|us|NEIC PDE|us|us100040x6|mww|7.6|us|PERU-BRAZIL BORDER REGION|-10.11|-71.28|627.3|7.6|Mw|3.7e27
5166216|2015-11-24T22:45:38|-10.5372|-70.9437|606.21|us|NEIC PDE|us|us100040ww|mww|7.6|us|PERU-BRAZIL BORDER REGION|-10.73|-71.12|610.7|7.5|Mw|2.62e27
5166177|2015-11-24T13:21:35|18.7787|145.2659|586.88|us|NEIC PDE|us|us100040q8|mww|6.0|us|MARIANA ISLANDS|18.82|145.26|582.5|6.0|Mw|1.15e25
5163922|2015-11-02T03:04:08|-18.1736|-177.8377|608.43|us|NEIC PDE|us|us20004194|mb|5.2|us|FIJI ISLANDS REGION|-18.27|-177.96|631.0|5.6|Mw|3.53e24
5160144|2015-09-26T17:23:26|5.2649|123.7966|516.0|us|NEIC PDE|us|us20003pci|mwb|5.5|us|MINDANAO, PHILIPPINES|5.24|123.68|523.2|5.5|Mw|2.17e24
5157946|2015-09-07T08:46:09|-24.2427|179.1278|535.0|us|NEIC PDE|us|us20003h2i|mww|6.0|us|SOUTH OF FIJI ISLANDS|-24.28|179.07|551.6|5.8|Mw|7.3e24
5157865|2015-09-06T04:52:56|-25.0332|179.8707|507.87|us|NEIC PDE|us|us20003gvy|mb|5.1|us|SOUTH OF FIJI ISLANDS|-24.99|179.93|492.2|5.5|Mw|2.19e24
5157278|2015-09-01T16:08:26|-29.6825|178.6851|565.53|us|NEIC PDE|us|us20003fej|mb|5.1|us|KERMADEC ISLANDS REGION|-29.62|178.67|583.3|5.7|Mw|4.05e24
