Data Set S1
event_ID                  yr   mon  day    hr    min   sec        m0      Mw  mb     lat     lon     depth   fc       stress_drop   rms         nstat
Event_1992_297_21_24_36  1992  10    23    21    24   36.40   1.8800e+25  6.1 5.9   -9.484  122.545  42.4   0.3425    1.7190e+01    7.6810e-02    5
Event_1992_297_23_19_47  1992  10    23    23    19   47.20   4.9300e+25  6.4 6.2   42.561   45.096  16.0   0.1600    4.5950e+00    8.3830e-02   12
Event_1992_298_08_23_04  1992  10    24     8    23    4.30   8.7400e+25  6.6 5.8  -29.782 -177.242  19.0   0.2180    2.0600e+01    1.3020e-01    8
Event_1992_303_07_29_57  1992  10    29     7    29   57.60   2.6000e+25  6.2 5.5    6.790  123.817  28.4   0.1315    1.3450e+00    1.1820e-01    5
Event_1992_305_14_34_26  1992  10    31    14    34   26.70   6.2400e+25  6.5 5.8   -2.329  141.260   6.0   0.1805    8.3500e+00    8.1770e-02   10
Event_1992_309_18_13_17  1992  11     4    18    13   17.20   4.6300e+25  6.4 6.0  -14.256  167.661  14.0   0.2115    9.9670e+00    1.2440e-01    6
Event_1992_309_21_32_36  1992  11     4    21    32   36.40   1.2900e+25  6.0 5.8  -31.658  -71.647  19.0   0.1555    1.1040e+00    7.5850e-02    7
Event_1992_313_03_43_23  1992  11     8     3    43   23.50   1.1800e+26  6.6 5.7  -15.738 -179.691  15.0   0.1520    9.4290e+00    1.7910e-01    8
Event_1992_316_00_18_49  1992  11    11     0    18   49.20   5.8200e+24  5.8 5.6   -2.907  141.599  41.1   0.3965    8.2550e+00    7.7370e-02    3
Event_1992_316_21_26_14  1992  11    11    21    26   14.10   2.0300e+25  6.1 5.7   51.184 -179.227  40.2   0.1840    2.8770e+00    8.6750e-02   10
Event_1992_323_21_10_40  1992  11    18    21    10   40.80   8.5000e+24  5.9 5.9   38.325   22.509  15.0   0.3645    9.3660e+00    1.1890e-01    4
Event_1992_326_22_39_35  1992  11    21    22    39   35.00   7.9300e+25  6.5 5.9  -56.539  -25.898  14.4   0.1205    3.1570e+00    1.2460e-01    3
Event_1992_333_03_13_37  1992  11    28     3    13   37.00   5.6200e+25  6.4 5.9  -31.368  -72.045  12.0   0.2300    1.5560e+01    1.2940e-01    9
Event_1992_353_03_14_04  1992  12    18     3    14    4.80   1.8300e+25  6.1 6.0   -6.477  147.217  27.6   0.2550    6.9040e+00    9.7510e-02    7
Event_1992_355_20_52_42  1992  12    20    20    52   42.50   8.4900e+26  7.2 6.6   -6.595  130.401  78.0   0.0980    1.8180e+01    7.6230e-02   12
Event_1992_361_19_52_24  1992  12    26    19    52   24.70   1.7400e+26  6.8 5.7   -0.531  -19.400   8.0   0.1620    1.6830e+01    8.4860e-02    5
Event_1993_004_20_41_11  1993   1     4    20    41   11.20   1.0880e+25  6.0 5.6  -22.036 -174.655   6.4   0.1960    1.8640e+00    7.3640e-02    7
Event_1993_013_18_50_42  1993   1    13    18    50   42.80   3.3600e+25  6.3 5.9  -50.839  139.319  10.0   0.2330    9.6710e+00    1.3300e-01    3
Event_1993_020_17_31_15  1993   1    20    17    31   15.70   4.9100e+25  6.4 6.0   -7.200  128.578  34.7   0.1115    1.5490e+00    1.9660e-01    8
